Stomatal Density Average R,Stomatal Density Average L,Difference between L & R,Difference between L & R mm2,age,potnumber,shade,barrier,shadebarrierword,shadebarrier,remark
56.6,35.4,21.2,47.11111111,N,46,Halfshade,Halfbarrier,Hs Hb ,2B,none
45.4,14.6,30.8,68.44444444,O,46,Halfshade,Halfbarrier,Hs Hb ,2B,none
39.2,30.4,8.8,19.55555556,N,47,Halfshade,Halfbarrier,Hs Hb ,2B,none
38.6,19.8,18.8,41.77777778,O,47,Halfshade,Halfbarrier,Hs Hb ,2B,none
48.6,26,22.6,50.22222222,N,48,Halfshade,Halfbarrier,Hs Hb ,2B,none
48.4,17.8,30.6,68,O,48,Halfshade,Halfbarrier,Hs Hb ,2B,none
49.4,40.6,8.8,19.55555556,N,49,Halfshade,Halfbarrier,Hs Hb ,2B,none
53.4,21,32.4,72,O,49,Halfshade,Halfbarrier,Hs Hb ,2B,none
48.6,33,15.6,34.66666667,N,50,Halfshade,Halfbarrier,Hs Hb ,2B,none
35.4,20.4,15,33.33333333,O,50,Halfshade,Halfbarrier,Hs Hb ,2B,none
63.4,32.6,30.8,68.44444444,N,51,Halfshade,Nobarrier,Hs Nb ,2C,none
57,27.4,29.6,65.77777778,O,51,Halfshade,Nobarrier,Hs Nb ,2C,none
44,31.2,12.8,28.44444444,N,52,Halfshade,Nobarrier,Hs Nb ,2C,none
30.4,20.4,10,22.22222222,O,52,Halfshade,Nobarrier,Hs Nb ,2C,none
63,39,24,53.33333333,N,53,Halfshade,Nobarrier,Hs Nb ,2C,none
42.4,33,9.4,20.88888889,O,53,Halfshade,Nobarrier,Hs Nb ,2C,none
49,30.4,18.6,41.33333333,N,54,Halfshade,Nobarrier,Hs Nb ,2C,none
47.4,27.2,20.2,44.88888889,O,54,Halfshade,Nobarrier,Hs Nb ,2C,none
59.6,68.2,-8.6,-19.11111111,N,55,Halfshade,Nobarrier,Hs Nb ,2C,none
38.4,31.2,7.2,16,O,55,Halfshade,Nobarrier,Hs Nb ,2C,none
64,37,27,60,N,56,Halfshade,Nobarrier,Hs Nb ,2C,none
29.8,26.4,3.4,7.555555556,O,56,Halfshade,Nobarrier,Hs Nb ,2C,none
46.6,38.4,8.2,18.22222222,N,57,Halfshade,Nobarrier,Hs Nb ,2C,none
32,21.2,10.8,24,O,57,Halfshade,Nobarrier,Hs Nb ,2C,none
56.4,37.4,19,42.22222222,N,58,Halfshade,Nobarrier,Hs Nb ,2C,none
38.8,31.2,7.6,16.88888889,O,58,Halfshade,Nobarrier,Hs Nb ,2C,none
15,34.2,-19.2,-42.66666667,N,59,Halfshade,Nobarrier,Hs Nb ,2C,none
40,26.6,13.4,29.77777778,O,59,Halfshade,Nobarrier,Hs Nb ,2C,none
50.2,35.4,14.8,32.88888889,N,60,Halfshade,Nobarrier,Hs Nb ,2C,none
50,32.8,17.2,38.22222222,O,60,Halfshade,Nobarrier,Hs Nb ,2C,none
